1,6,A1,skyBoss
2,6,A2,skyBoss
3,6,A3,skyBoss
4,6,A4,skyBoss
5,6,A5,skyBoss
6,6,A6,deluxe
7,6,A7,deluxe
8,6,A8,deluxe
9,6,A9,deluxe
10,6,A10,deluxe
11,6,A11,deluxe
12,6,A12,deluxe
13,6,A13,deluxe
14,6,A14,deluxe
15,6,A15,deluxe
16,6,A16,original
17,6,A17,original
18,6,A18,original
19,6,A19,original
20,6,A20,original
21,6,A21,original
22,6,A22,original
23,6,A23,original
24,6,A24,original
25,6,A25,original
26,6,A26,original
27,6,A27,original
28,6,A28,original
29,6,A29,original
30,6,A30,original
31,6,B1,skyBoss
32,6,B2,skyBoss
33,6,B3,skyBoss
34,6,B4,skyBoss
35,6,B5,skyBoss
36,6,B6,deluxe
37,6,B7,deluxe
38,6,B8,deluxe
39,6,B9,deluxe
40,6,B10,deluxe
41,6,B11,deluxe
42,6,B12,deluxe
43,6,B13,deluxe
44,6,B14,deluxe
45,6,B15,deluxe
46,6,B16,original
47,6,B17,original
48,6,B18,original
49,6,B19,original
50,6,B20,original
51,6,B21,original
52,6,B22,original
53,6,B23,original
54,6,B24,original
55,6,B25,original
56,6,B26,original
57,6,B27,original
58,6,B28,original
59,6,B29,original
60,6,B30,original
61,6,C1,skyBoss
62,6,C2,skyBoss
63,6,C3,skyBoss
64,6,C4,skyBoss
65,6,C5,skyBoss
66,6,C6,deluxe
67,6,C7,deluxe
68,6,C8,deluxe
69,6,C9,deluxe
70,6,C10,deluxe
71,6,C11,deluxe
72,6,C12,deluxe
73,6,C13,deluxe
74,6,C14,deluxe
75,6,C15,deluxe
76,6,C16,original
77,6,C17,original
78,6,C18,original
79,6,C19,original
80,6,C20,original
81,6,C21,original
82,6,C22,original
83,6,C23,original
84,6,C24,original
85,6,C25,original
86,6,C26,original
87,6,C27,original
88,6,C28,original
89,6,C29,original
90,6,C30,original
91,6,D1,skyBoss
92,6,D2,skyBoss
93,6,D3,skyBoss
94,6,D4,skyBoss
95,6,D5,skyBoss
96,6,D6,deluxe
97,6,D7,deluxe
98,6,D8,deluxe
99,6,D9,deluxe
100,6,D10,deluxe
101,6,D11,deluxe
102,6,D12,deluxe
103,6,D13,deluxe
104,6,D14,deluxe
105,6,D15,deluxe
106,6,D16,original
107,6,D17,original
108,6,D18,original
109,6,D19,original
110,6,D20,original
111,6,D21,original
112,6,D22,original
113,6,D23,original
114,6,D24,original
115,6,D25,original
116,6,D26,original
117,6,D27,original
118,6,D28,original
119,6,D29,original
120,6,D30,original
121,6,E1,skyBoss
122,6,E2,skyBoss
123,6,E3,skyBoss
124,6,E4,skyBoss
125,6,E5,skyBoss
126,6,E6,deluxe
127,6,E7,deluxe
128,6,E8,deluxe
129,6,E9,deluxe
130,6,E10,deluxe
131,6,E11,deluxe
132,6,E12,deluxe
133,6,E13,deluxe
134,6,E14,deluxe
135,6,E15,deluxe
136,6,E16,original
137,6,E17,original
138,6,E18,original
139,6,E19,original
140,6,E20,original
141,6,E21,original
142,6,E22,original
143,6,E23,original
144,6,E24,original
145,6,E25,original
146,6,E26,original
147,6,E27,original
148,6,E28,original
149,6,E29,original
150,6,E30,original
151,6,F1,skyBoss
152,6,F2,skyBoss
153,6,F3,skyBoss
154,6,F4,skyBoss
155,6,F5,skyBoss
156,6,F6,deluxe
157,6,F7,deluxe
158,6,F8,deluxe
159,6,F9,deluxe
160,6,F10,deluxe
161,6,F11,deluxe
162,6,F12,deluxe
163,6,F13,deluxe
164,6,F14,deluxe
165,6,F15,deluxe
166,6,F16,original
167,6,F17,original
168,6,F18,original
169,6,F19,original
170,6,F20,original
171,6,F21,original
172,6,F22,original
173,6,F23,original
174,6,F24,original
175,6,F25,original
176,6,F26,original
177,6,F27,original
178,6,F28,original
179,6,F29,original
180,6,F30,original
181,6,G1,skyBoss
182,6,G2,skyBoss
183,6,G3,skyBoss
184,6,G4,skyBoss
185,6,G5,skyBoss
186,6,G6,deluxe
187,6,G7,deluxe
188,6,G8,deluxe
189,6,G9,deluxe
190,6,G10,deluxe
191,6,G11,deluxe
192,6,G12,deluxe
193,6,G13,deluxe
194,6,G14,deluxe
195,6,G15,deluxe
196,6,G16,original
197,6,G17,original
198,6,G18,original
199,6,G19,original
200,6,G20,original
